Date,AUD,CAD,CHF,CNY,EUR,GBP,INR,JPY,KRW,MXN,NZD
2015-01-02,0.8118,1.1725,1.0004,6.2046,1.2015,1.5361,63.2700,120.2000,1103.7300,14.8060,0.7711
2015-01-05,0.8095,1.1785,1.0079,6.2201,1.1918,1.5234,63.3400,119.6400,1109.0700,14.9700,0.7702
2015-01-06,0.8118,1.1802,1.0062,6.2125,1.1936,1.5174,63.5700,118.2600,1098.1400,14.8785,0.7805
2015-01-07,0.8049,1.1851,1.0160,6.2127,1.1820,1.5073,63.2700,119.5200,1101.5100,14.7875,0.7727
2015-01-08,0.8126,1.1812,1.0169,6.2143,1.1811,1.5118,62.6700,119.5100,1096.1900,14.6095,0.7826
2015-01-09,0.8191,1.1857,1.0151,6.2085,1.1830,1.5151,62.3400,118.6600,1086.1400,14.5765,0.7832
2015-01-12,0.8165,1.1929,1.0150,6.2027,1.1832,1.5168,62.0900,118.3200,1083.2500,14.6370,0.7776
2015-01-13,0.8164,1.1947,1.0195,6.1970,1.1779,1.5166,61.9700,118.1600,1080.4200,14.5755,0.7732
2015-01-14,0.8163,1.1957,1.0172,6.1957,1.1806,1.5234,62.0900,116.7800,1080.4500,14.5740,0.7746
2015-01-15,0.8212,1.1932,0.8930,6.1870,1.1598,1.5161,62.0600,116.9500,1077.9400,14.5920,0.7791
2015-01-16,0.8194,1.1986,0.8488,6.2065,1.1517,1.5132,61.8700,117.4500,1076.6800,14.6110,0.7778
2015-01-19,.,.,.,.,.,.,.,.,.,.,.
2015-01-20,0.8177,1.2085,0.8751,6.2137,1.1559,1.5162,61.6400,118.4800,1087.1700,14.6465,0.7693
2015-01-21,0.8101,1.2377,0.8596,6.2112,1.1584,1.5118,61.5500,117.8600,1081.9400,14.7250,0.7578
2015-01-22,0.8099,1.2370,0.8678,6.2085,1.1414,1.5052,61.3200,117.9200,1081.7500,14.6015,0.7551
2015-01-23,0.7935,1.2400,0.8760,6.2279,1.1279,1.5022,61.4600,117.8000,1075.7500,14.6400,0.7477
2015-01-26,0.7934,1.2409,0.8988,6.2535,1.1290,1.5088,61.4600,118.3800,1079.4200,14.5640,0.7425
2015-01-27,0.7939,1.2402,0.9042,6.2430,1.1370,1.5196,61.3400,117.6200,1075.3100,14.5775,0.7461
2015-01-28,0.7973,1.2452,0.9055,6.2475,1.1342,1.5165,61.3400,117.7400,1084.8400,14.6855,0.7451
2015-01-29,0.7758,1.2644,0.9226,6.2463,1.1308,1.5043,61.9400,118.3100,1098.6000,14.8805,0.7259
2015-01-30,0.7762,1.2716,0.9210,6.2495,1.1290,1.5026,62.0100,117.4400,1104.3000,15.0050,0.7248
2015-02-02,0.7818,1.2577,0.9262,6.2594,1.1337,1.5027,61.6800,117.3300,1099.6100,14.8815,0.7304
2015-02-03,0.7737,1.2452,0.9234,6.2573,1.1462,1.5129,61.6700,117.4800,1096.0600,14.7515,0.7294
2015-02-04,0.7761,1.2550,0.9238,6.2472,1.1418,1.5209,61.7300,117.5800,1086.7900,14.7935,0.7371
